,MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW
MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,46.0000000000,46.0000000000,48.0000000000,47.0000000000,46.0000000000,46.0000000000,48.0000000000,47.0000000000,48.0000000000,46.0000000000,48.0000000000,46.0000000000,46.0000000000,46.0000000000,46.0000000000,48.0000000000,46.0000000000,46.0000000000,5.0000000000,8.0000000000,5.0000000000,6.0000000000,4.0000000000,4.0000000000,14.0000000000,5.0000000000,15.0000000000,6.0000000000,7.0000000000,3.0000000000,7.0000000000,6.0000000000,6.0000000000,,,,,,,,,,,,,,,,,,,,,
MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,46.0000000000,46.0000000000,48.0000000000,47.0000000000,46.0000000000,46.0000000000,48.0000000000,47.0000000000,48.0000000000,46.0000000000,48.0000000000,46.0000000000,46.0000000000,46.0000000000,46.0000000000,48.0000000000,46.0000000000,46.0000000000,2.0000000000,5.0000000000,4.0000000000,3.0000000000,1.0000000000,3.0000000000,15.0000000000,2.0000000000,16.0000000000,3.0000000000,4.0000000000,2.0000000000,4.0000000000,5.0000000000,3.0000000000,5.0000000000,,,,,,,,,,,,,,,,,,,,
MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,46.0000000000,46.0000000000,48.0000000000,47.0000000000,46.0000000000,46.0000000000,48.0000000000,47.0000000000,48.0000000000,46.0000000000,48.0000000000,46.0000000000,46.0000000000,46.0000000000,46.0000000000,48.0000000000,46.0000000000,46.0000000000,3.0000000000,6.0000000000,5.0000000000,4.0000000000,2.0000000000,2.0000000000,16.0000000000,3.0000000000,17.0000000000,4.0000000000,5.0000000000,1.0000000000,5.0000000000,4.0000000000,4.0000000000,4.0000000000,3.0000000000,,,,,,,,,,,,,,,,,,,
MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,50.0000000000,50.0000000000,48.0000000000,51.0000000000,50.0000000000,50.0000000000,48.0000000000,50.0000000000,48.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,50.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,55.0000000000,56.0000000000,53.0000000000,56.0000000000,54.0000000000,54.0000000000,48.0000000000,55.0000000000,47.0000000000,56.0000000000,57.0000000000,53.0000000000,55.0000000000,55.0000000000,53.0000000000,52.0000000000,55.0000000000,54.0000000000,,,,,,,,,,,,,,,,,,
MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,49.0000000000,49.0000000000,47.0000000000,50.0000000000,49.0000000000,49.0000000000,47.0000000000,49.0000000000,47.0000000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,54.0000000000,55.0000000000,52.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,44.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,52.0000000000,51.0000000000,54.0000000000,53.0000000000,3.0000000000,,,,,,,,,,,,,,,,,
MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,49.0000000000,49.0000000000,47.0000000000,50.0000000000,49.0000000000,49.0000000000,47.0000000000,49.0000000000,47.0000000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,54.0000000000,55.0000000000,52.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,52.0000000000,51.0000000000,54.0000000000,53.0000000000,1.0000000000,2.0000000000,,,,,,,,,,,,,,,,
MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,49.0000000000,49.0000000000,47.0000000000,50.0000000000,49.0000000000,49.0000000000,47.0000000000,49.0000000000,47.0000000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,48.0000000000,49.0000000000,49.0000000000,54.0000000000,55.0000000000,52.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,52.0000000000,51.0000000000,54.0000000000,53.0000000000,1.0000000000,2.0000000000,0.0000000000,,,,,,,,,,,,,,,
MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,49.0000000000,49.0000000000,49.0000000000,50.0000000000,49.0000000000,49.0000000000,49.0000000000,51.0000000000,49.0000000000,49.0000000000,50.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,49.0000000000,54.0000000000,55.0000000000,52.0000000000,55.0000000000,53.0000000000,53.0000000000,49.0000000000,54.0000000000,48.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,52.0000000000,49.0000000000,54.0000000000,53.0000000000,3.0000000000,4.0000000000,2.0000000000,2.0000000000,,,,,,,,,,,,,,
MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,48.0000000000,48.0000000000,46.0000000000,49.0000000000,48.0000000000,48.0000000000,46.0000000000,48.0000000000,46.0000000000,48.0000000000,47.0000000000,48.0000000000,48.0000000000,48.0000000000,48.0000000000,47.0000000000,48.0000000000,48.0000000000,53.0000000000,54.0000000000,51.0000000000,54.0000000000,52.0000000000,52.0000000000,46.0000000000,53.0000000000,47.0000000000,54.0000000000,55.0000000000,51.0000000000,53.0000000000,53.0000000000,51.0000000000,50.0000000000,53.0000000000,52.0000000000,2.0000000000,3.0000000000,1.0000000000,1.0000000000,3.0000000000,,,,,,,,,,,,,
MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,51.0000000000,51.0000000000,49.0000000000,52.0000000000,51.0000000000,51.0000000000,49.0000000000,51.0000000000,49.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,51.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,54.0000000000,55.0000000000,54.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,54.0000000000,51.0000000000,54.0000000000,53.0000000000,3.0000000000,4.0000000000,2.0000000000,2.0000000000,4.0000000000,3.0000000000,,,,,,,,,,,,
MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,51.0000000000,51.0000000000,49.0000000000,52.0000000000,51.0000000000,51.0000000000,49.0000000000,51.0000000000,49.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,51.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,54.0000000000,55.0000000000,54.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,54.0000000000,51.0000000000,54.0000000000,53.0000000000,3.0000000000,4.0000000000,2.0000000000,2.0000000000,4.0000000000,3.0000000000,0.0000000000,,,,,,,,,,,
MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,51.0000000000,51.0000000000,49.0000000000,52.0000000000,51.0000000000,51.0000000000,49.0000000000,51.0000000000,49.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,51.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,54.0000000000,55.0000000000,54.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,54.0000000000,51.0000000000,54.0000000000,53.0000000000,3.0000000000,4.0000000000,2.0000000000,2.0000000000,4.0000000000,3.0000000000,0.0000000000,0.0000000000,,,,,,,,,,
MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,51.0000000000,51.0000000000,49.0000000000,52.0000000000,51.0000000000,51.0000000000,49.0000000000,51.0000000000,49.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,51.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,54.0000000000,55.0000000000,54.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,54.0000000000,51.0000000000,54.0000000000,53.0000000000,3.0000000000,4.0000000000,2.0000000000,2.0000000000,4.0000000000,3.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,
MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,51.0000000000,51.0000000000,49.0000000000,52.0000000000,51.0000000000,51.0000000000,49.0000000000,51.0000000000,49.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,51.0000000000,51.0000000000,50.0000000000,51.0000000000,51.0000000000,54.0000000000,55.0000000000,54.0000000000,55.0000000000,53.0000000000,53.0000000000,47.0000000000,54.0000000000,46.0000000000,55.0000000000,56.0000000000,52.0000000000,54.0000000000,54.0000000000,54.0000000000,51.0000000000,54.0000000000,53.0000000000,3.0000000000,4.0000000000,2.0000000000,2.0000000000,4.0000000000,3.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,
MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,50.0000000000,50.0000000000,48.0000000000,51.0000000000,50.0000000000,50.0000000000,48.0000000000,50.0000000000,48.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,50.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,53.0000000000,54.0000000000,53.0000000000,54.0000000000,52.0000000000,52.0000000000,46.0000000000,53.0000000000,47.0000000000,54.0000000000,55.0000000000,51.0000000000,53.0000000000,53.0000000000,53.0000000000,50.0000000000,53.0000000000,52.0000000000,4.0000000000,5.0000000000,3.0000000000,3.0000000000,5.0000000000,2.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,
MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,54.0000000000,54.0000000000,52.0000000000,55.0000000000,54.0000000000,54.0000000000,52.0000000000,54.0000000000,52.0000000000,54.0000000000,53.0000000000,54.0000000000,54.0000000000,54.0000000000,54.0000000000,53.0000000000,54.0000000000,54.0000000000,57.0000000000,58.0000000000,55.0000000000,58.0000000000,56.0000000000,56.0000000000,52.0000000000,57.0000000000,51.0000000000,58.0000000000,59.0000000000,55.0000000000,57.0000000000,57.0000000000,55.0000000000,56.0000000000,57.0000000000,56.0000000000,6.0000000000,7.0000000000,5.0000000000,5.0000000000,7.0000000000,6.0000000000,5.0000000000,5.0000000000,5.0000000000,5.0000000000,5.0000000000,6.0000000000,,,,,,
MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,53.0000000000,53.0000000000,51.0000000000,54.0000000000,53.0000000000,53.0000000000,51.0000000000,53.0000000000,51.0000000000,53.0000000000,52.0000000000,53.0000000000,53.0000000000,53.0000000000,53.0000000000,52.0000000000,53.0000000000,53.0000000000,58.0000000000,59.0000000000,56.0000000000,59.0000000000,57.0000000000,57.0000000000,51.0000000000,58.0000000000,50.0000000000,59.0000000000,60.0000000000,56.0000000000,58.0000000000,58.0000000000,56.0000000000,55.0000000000,58.0000000000,57.0000000000,5.0000000000,6.0000000000,4.0000000000,4.0000000000,6.0000000000,5.0000000000,4.0000000000,4.0000000000,4.0000000000,4.0000000000,4.0000000000,5.0000000000,1.0000000000,,,,,
MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,53.0000000000,53.0000000000,51.0000000000,54.0000000000,53.0000000000,53.0000000000,51.0000000000,53.0000000000,51.0000000000,53.0000000000,52.0000000000,53.0000000000,53.0000000000,53.0000000000,53.0000000000,52.0000000000,53.0000000000,53.0000000000,58.0000000000,59.0000000000,56.0000000000,59.0000000000,57.0000000000,57.0000000000,51.0000000000,58.0000000000,50.0000000000,59.0000000000,60.0000000000,56.0000000000,58.0000000000,58.0000000000,56.0000000000,55.0000000000,58.0000000000,57.0000000000,5.0000000000,6.0000000000,4.0000000000,4.0000000000,6.0000000000,5.0000000000,4.0000000000,4.0000000000,4.0000000000,4.0000000000,4.0000000000,5.0000000000,1.0000000000,0.0000000000,,,,
MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,50.0000000000,50.0000000000,48.0000000000,51.0000000000,50.0000000000,50.0000000000,48.0000000000,50.0000000000,48.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,50.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,55.0000000000,56.0000000000,53.0000000000,56.0000000000,54.0000000000,54.0000000000,48.0000000000,55.0000000000,49.0000000000,56.0000000000,57.0000000000,53.0000000000,55.0000000000,55.0000000000,53.0000000000,52.0000000000,55.0000000000,54.0000000000,8.0000000000,9.0000000000,7.0000000000,7.0000000000,9.0000000000,6.0000000000,7.0000000000,7.0000000000,7.0000000000,7.0000000000,7.0000000000,6.0000000000,4.0000000000,3.0000000000,3.0000000000,,,
MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,53.0000000000,53.0000000000,51.0000000000,54.0000000000,53.0000000000,53.0000000000,51.0000000000,53.0000000000,51.0000000000,53.0000000000,52.0000000000,53.0000000000,53.0000000000,53.0000000000,53.0000000000,52.0000000000,53.0000000000,53.0000000000,59.0000000000,60.0000000000,57.0000000000,60.0000000000,58.0000000000,58.0000000000,52.0000000000,59.0000000000,51.0000000000,60.0000000000,61.0000000000,57.0000000000,59.0000000000,59.0000000000,57.0000000000,56.0000000000,59.0000000000,58.0000000000,6.0000000000,7.0000000000,5.0000000000,5.0000000000,7.0000000000,6.0000000000,5.0000000000,5.0000000000,5.0000000000,5.0000000000,5.0000000000,6.0000000000,2.0000000000,1.0000000000,1.0000000000,4.0000000000,,
MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,50.0000000000,50.0000000000,48.0000000000,51.0000000000,50.0000000000,50.0000000000,48.0000000000,50.0000000000,48.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,50.0000000000,50.0000000000,49.0000000000,50.0000000000,50.0000000000,55.0000000000,56.0000000000,53.0000000000,56.0000000000,54.0000000000,54.0000000000,48.0000000000,55.0000000000,49.0000000000,56.0000000000,57.0000000000,53.0000000000,55.0000000000,55.0000000000,53.0000000000,52.0000000000,55.0000000000,54.0000000000,8.0000000000,9.0000000000,7.0000000000,7.0000000000,9.0000000000,6.0000000000,7.0000000000,7.0000000000,7.0000000000,7.0000000000,7.0000000000,6.0000000000,4.0000000000,3.0000000000,3.0000000000,0.0000000000,4.0000000000,
