"V1","MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS","MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS","MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS","MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS","MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS","MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS","MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS","MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS","MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE","MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE","MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE","MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE","MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE","MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE","MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE","MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE","MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE","MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE","MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE","MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE","MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE","MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE","MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE","MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE","MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE","MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE","MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW","MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW","MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW","MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW","MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW","MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW","MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW","MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW","MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW","MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW","MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW","MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW","MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW","MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW","MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW"
"MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE",0.1703398,0.1703398,0.1808036,0.1762889,0.1808036,0.1846483,0.1870296,0.1931913,0.0085751,0.0153376,0,0.0108145,0.0063748,0.0107883,0.0352024,0.0085751,0.0377889,0.0108255,0.0131212,0.0085547,0.0130794,0.0156672,0.0063768,0.0107992,0.0085837,0.0108124,0.2241034,0.2173695,0.2173695,0.2173695,0.2159816,0.2121549,0.2289586,0.2289586,0.223729,0.2361731,0.2430265,0.2430265,0.2260419,0.2483852,0.2260419
"MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE",0.175997,0.175997,0.1865574,0.1820189,0.1865574,0.1905745,0.192838,0.1993093,0.0064028,0.0130901,0.0108145,0,0.00423,0.0085929,0.0379007,0.0064028,0.0405261,0.0086221,0.0108862,0.0063878,0.0108519,0.0133671,0.0085777,0.0130752,0.0064092,0.0086113,0.241097,0.2342838,0.2342838,0.2342838,0.232823,0.2290576,0.2353689,0.2353689,0.230128,0.2532236,0.260123,0.260123,0.2431301,0.2654598,0.2431301
"MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE",0.1647507,0.1647507,0.1751102,0.1706227,0.1751102,0.1787839,0.1812766,0.1871327,0.0020969,0.0085724,0.0063748,0.00423,0,0.0042206,0.0325525,0.0020969,0.0351005,0.0042351,0.0064156,0.0020923,0.0063961,0.0087464,0.0042137,0.0085632,0.0020989,0.0042286,0.2282725,0.2215431,0.2215431,0.2215431,0.220142,0.2163448,0.2225841,0.2225841,0.2173695,0.2403136,0.2471544,0.2471544,0.2302276,0.2524893,0.2302276
"MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE",0.1764715,0.1764715,0.1870296,0.1824937,0.1870296,0.1910565,0.1933079,0.1997966,0.0063878,0.0130577,0.0107883,0.0085929,0.0042206,0,0.0324241,0.0063878,0.0349602,0.0086015,0.0108596,0.0020963,0.0108255,0.0087649,0.0085573,0.008581,0.0063941,0.004238,0.2293383,0.2225841,0.2225841,0.2225841,0.2211743,0.2173695,0.2236315,0.2236315,0.2184007,0.2414173,0.2482802,0.2482802,0.231305,0.2536283,0.231305
"MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE",0.1806699,0.1806699,0.169948,0.1866734,0.169948,0.1750609,0.1760131,0.1832864,0.0352024,0.0431811,0.0352024,0.0379007,0.0325525,0.0324241,0,0.0352024,0.0108432,0.0379436,0.0407413,0.0351005,0.0353448,0.0443381,0.0325633,0.0324599,0.0352419,0.0379232,0.1916549,0.1851553,0.1851553,0.1851553,0.1965931,0.1800218,0.1860645,0.1860645,0.1809096,0.2165744,0.2101831,0.2101831,0.1933796,0.2155396,0.1933796
"MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE",0.1703398,0.1703398,0.1692016,0.1762889,0.1692016,0.1726942,0.1752938,0.1808281,0.00423,0.0108111,0.0085751,0.0064028,0.0020969,0.0063878,0.0352024,0,0.0377889,0.0064092,0.0086309,0.0042206,0.0086042,0.0110352,0.0063768,0.0107992,0.0042351,0.0064009,0.2346687,0.2278951,0.2278951,0.2278951,0.2264635,0.222681,0.2289586,0.2289586,0.223729,0.2467562,0.2536283,0.2536283,0.2366636,0.2589655,0.2366636
"MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE",0.1786428,0.1786428,0.1680041,0.1845998,0.1680041,0.1730149,0.1740205,0.1865327,0.0377889,0.0458656,0.0377889,0.0405261,0.0351005,0.0349602,0.0108432,0.0377889,0,0.0405723,0.0434128,0.0376779,0.0379436,0.0471153,0.0351121,0.0349991,0.0378316,0.0405539,0.183098,0.1666292,0.1767554,0.1767554,0.1879632,0.1818952,0.177618,0.177618,0.18278,0.2075445,0.2012639,0.2012639,0.1951272,0.2065512,0.1951272
"MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE",0.1647507,0.1647507,0.1751102,0.1706227,0.1751102,0.1787839,0.1812766,0.1871327,0.0064092,0.0131035,0.0108255,0.0086221,0.0042351,0.0086015,0.0379436,0.0064092,0.0405723,0,0.0020989,0.0063941,0.0063961,0.0133811,0.0085864,0.0130886,0.0064156,0.00862,0.2414899,0.2346687,0.2346687,0.2346687,0.2332049,0.2294374,0.235756,0.235756,0.2305101,0.2536283,0.2605347,0.2605347,0.2435269,0.2658754,0.2435269
"MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE",0.1706227,0.1706227,0.181102,0.1650245,0.181102,0.1849594,0.187337,0.1935211,0.0086309,0.0154422,0.0131212,0.0108862,0.0064156,0.0108596,0.0407413,0.0086309,0.0434128,0.0020989,0,0.0086102,0.0086129,0.0157767,0.01084,0.0154241,0.0086396,0.010884,0.2483534,0.2414899,0.2414899,0.2414899,0.2399952,0.2362454,0.2426001,0.2426001,0.2373417,0.2605347,0.267471,0.267471,0.2504311,0.2728123,0.2504311
"MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE",0.1708133,0.1708133,0.1812766,0.1767638,0.1812766,0.1851317,0.1875013,0.1936813,0.0042206,0.0107849,0.0085547,0.0063878,0.0020923,0.0020963,0.0351005,0.0042206,0.0376779,0.0063941,0.0086102,0,0.0085837,0.006513,0.0063619,0.0063792,0.0042246,0.0021002,0.222956,0.2162501,0.2162501,0.2162501,0.2148718,0.211054,0.2172742,0.2172742,0.2120611,0.2349825,0.2418108,0.2418108,0.2248816,0.2471544,0.2248816
"MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE",0.1695548,0.1695548,0.1799734,0.1754756,0.1799734,0.183782,0.1861734,0.1922717,0.0086042,0.0107883,0.0130794,0.0108519,0.0063961,0.0108255,0.0353448,0.0086042,0.0379436,0.0063961,0.0086129,0.0085837,0,0.0157243,0.010806,0.0153742,0.0086129,0.0108498,0.2362454,0.2294374,0.2294374,0.2294374,0.2279935,0.2242011,0.2305101,0.2305101,0.2252585,0.2483852,0.2552879,0.2552879,0.2382568,0.260643,0.2382568
"MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE",0.1919298,0.1919298,0.2032955,0.1984617,0.2032955,0.2080584,0.2100491,0.217857,0.0110352,0.0180693,0.0156672,0.0133671,0.0087464,0.0087649,0.0443381,0.0110352,0.0471153,0.0133811,0.0157767,0.006513,0.0157243,0,0.0133082,0.0133472,0.0110466,0.0087842,0.2498721,0.2425913,0.2425913,0.2425913,0.2410027,0.2370321,0.2437716,0.2437716,0.238197,0.2627898,0.2701496,0.2701496,0.2520836,0.2758068,0.2520836
"MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE",0.1592156,0.1592156,0.1694385,0.1649925,0.1694385,0.1729329,0.1755244,0.1810618,0.0063768,0.0130337,0.0063768,0.0085777,0.0042137,0.0085573,0.0325633,0.0063768,0.0351121,0.0085864,0.01084,0.0063619,0.010806,0.0133082,0,0.013019,0.0063832,0.0085756,0.2162285,0.209569,0.209569,0.209569,0.2082236,0.2043893,0.2210686,0.2210686,0.2158647,0.2282093,0.235007,0.235007,0.2181117,0.240351,0.2181117
"MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE",0.1747771,0.1747771,0.1852442,0.1807418,0.1852442,0.1891941,0.19147,0.1978233,0.0107992,0.0176602,0.0107992,0.0130752,0.0085632,0.008581,0.0324599,0.0107992,0.0349991,0.0130886,0.0154241,0.0063792,0.0153742,0.0133472,0.013019,0,0.0108102,0.0085994,0.2166138,0.2099611,0.2099611,0.2099611,0.1982357,0.2047876,0.210961,0.210961,0.2057696,0.2418108,0.2353689,0.2353689,0.2184967,0.2407049,0.2184967
"MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE",0.1706227,0.1706227,0.181102,0.1765816,0.181102,0.1849594,0.187337,0.1935211,0.0042351,0.0108221,0.0085837,0.0064092,0.0020989,0.0063941,0.0352419,0.0042351,0.0378316,0.0064156,0.0086396,0.0042246,0.0086129,0.0110466,0.0063832,0.0108102,0,0.0064073,0.2350544,0.2282725,0.2282725,0.2282725,0.2268379,0.2230531,0.2293383,0.2293383,0.2241034,0.2471544,0.2540338,0.2540338,0.2370533,0.2593751,0.2370533
"MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE",0.1790859,0.1790859,0.1899172,0.1852713,0.1899172,0.1941239,0.1963612,0.2031705,0.0064009,0.0130882,0.0108124,0.0086113,0.0042286,0.004238,0.0379232,0.0064009,0.0405539,0.00862,0.010884,0.0021002,0.0108498,0.0087842,0.0085756,0.0085994,0.0064073,0,0.2335958,0.226642,0.226642,0.226642,0.2251771,0.221287,0.2277306,0.2277306,0.2223588,0.2460149,0.253077,0.253077,0.2356398,0.2585643,0.2356398
"MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW",0.199649,0.199649,0.1886019,0.205847,0.1886019,0.2045692,0.1934295,0.1998738,0.2346687,0.2409945,0.2241034,0.241097,0.2282725,0.2293383,0.1916549,0.2346687,0.183098,0.2414899,0.2483534,0.222956,0.2362454,0.2498721,0.2162285,0.2166138,0.2350544,0.2335958,0,0.0063651,0.0020934,0.0020934,0.00638,0.0042152,0.0063781,0.0063781,0.0085628,0.0131389,0.0108494,0.0108494,0.0177841,0.0131105,0.0177841
"MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW",0.1935112,0.1935112,0.1825635,0.199649,0.1825635,0.1982224,0.1873589,0.1934783,0.2278951,0.2341834,0.2173695,0.2342838,0.2215431,0.2225841,0.1851553,0.2278951,0.1666292,0.2346687,0.2414899,0.2162501,0.2294374,0.2425913,0.209569,0.2099611,0.2282725,0.226642,0.0063651,0,0.0042017,0.0042017,0.0085366,0.006346,0.0085339,0.0085339,0.0107404,0.0153815,0.0130646,0.0130646,0.020073,0.0153477,0.020073
"MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW",0.1935112,0.1935112,0.1825635,0.199649,0.1825635,0.1982224,0.1873589,0.1934783,0.2278951,0.2341834,0.2173695,0.2342838,0.2215431,0.2225841,0.1851553,0.2278951,0.1767554,0.2346687,0.2414899,0.2162501,0.2294374,0.2425913,0.209569,0.2099611,0.2282725,0.226642,0.0020934,0.0042017,0,1e-06,0.0042112,0.0020874,0.0042099,0.0042099,0.0063588,0.0108383,0.0085924,0.0085924,0.0154024,0.0108154,0.0154024
"MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW",0.1935112,0.1935112,0.1825635,0.199649,0.1825635,0.1982224,0.1873589,0.1934783,0.2278951,0.2341834,0.2173695,0.2342838,0.2215431,0.2225841,0.1851553,0.2278951,0.1767554,0.2346687,0.2414899,0.2162501,0.2294374,0.2425913,0.209569,0.2099611,0.2282725,0.226642,0.0020934,0.0042017,1e-06,0,0.0042112,0.0020874,0.0042099,0.0042099,0.0063588,0.0108383,0.0085924,0.0085924,0.0154024,0.0108154,0.0154024
"MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW",0.1923241,0.1923241,0.1931979,0.1984286,0.1931979,0.2093221,0.1980266,0.1973768,0.2264635,0.2327234,0.2159816,0.232823,0.220142,0.2211743,0.1965931,0.2264635,0.1879632,0.2332049,0.2399952,0.2148718,0.2279935,0.2410027,0.2082236,0.1982357,0.2268379,0.2251771,0.00638,0.0085366,0.0042112,0.0042112,0,0.0063608,0.0085542,0.0085542,0.0107664,0.0154205,0.013097,0.013097,0.0201257,0.0153864,0.0201257
"MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW",0.1886821,0.1886821,0.1777779,0.1947915,0.1777779,0.1932455,0.1825635,0.1884507,0.222681,0.2289586,0.2121549,0.2290576,0.2163448,0.2173695,0.1800218,0.222681,0.1818952,0.2294374,0.2362454,0.211054,0.2242011,0.2370321,0.2043893,0.2047876,0.2230531,0.221287,0.0042152,0.006346,0.0020874,0.0020874,0.0063608,0,0.0063588,0.0063588,0.0042112,0.013097,0.0108154,0.0108154,0.0131146,0.0130687,0.0131146
"MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW",0.2041819,0.2041819,0.1931164,0.2103942,0.1931164,0.209233,0.1979437,0.2045993,0.2289586,0.2352679,0.2289586,0.2353689,0.2225841,0.2236315,0.1860645,0.2289586,0.177618,0.235756,0.2426001,0.2172742,0.2305101,0.2437716,0.2210686,0.210961,0.2293383,0.2277306,0.0063781,0.0085339,0.0042099,0.0042099,0.0085542,0.0063588,0,1e-06,0.0020847,0.010801,0.0085633,0.0085633,0.0153477,0.0107782,0.0153477
"MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW",0.2041819,0.2041819,0.1931164,0.2103942,0.1931164,0.209233,0.1979437,0.2045993,0.2289586,0.2352679,0.2289586,0.2353689,0.2225841,0.2236315,0.1860645,0.2289586,0.177618,0.235756,0.2426001,0.2172742,0.2305101,0.2437716,0.2210686,0.210961,0.2293383,0.2277306,0.0063781,0.0085339,0.0042099,0.0042099,0.0085542,0.0063588,1e-06,0,0.0020847,0.010801,0.0085633,0.0085633,0.0153477,0.0107782,0.0153477
"MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW",0.1993272,0.1993272,0.1882947,0.2055169,0.1882947,0.2042322,0.1931164,0.1995382,0.223729,0.2300284,0.223729,0.230128,0.2173695,0.2184007,0.1809096,0.223729,0.18278,0.2305101,0.2373417,0.2120611,0.2252585,0.238197,0.2158647,0.2057696,0.2241034,0.2223588,0.0085628,0.0107404,0.0063588,0.0063588,0.0107664,0.0042112,0.0020847,0.0020847,0,0.0130512,0.0107782,0.0107782,0.0130687,0.0130231,0.0130687
